"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 30 01:45:08 GMT 2022","Wed Nov 30 01:45:08 GMT 2022","43","tests.tests","test_sts","","","","test_sts_get_caller_identity_when_assuming_role",""
"passed","Wed Nov 30 01:45:01 GMT 2022","Wed Nov 30 01:45:01 GMT 2022","10","tests.tests","test_s3","","","","Read Object Content as Str for '('mybucket', 'a/b/c/path_file', 'asd')'",""
"passed","Wed Nov 30 01:45:07 GMT 2022","Wed Nov 30 01:45:07 GMT 2022","26","tests.tests","test_s3","","","","Add str '' file to path 'asd' on S3 'mybucket'",""
"passed","Wed Nov 30 01:45:01 GMT 2022","Wed Nov 30 01:45:01 GMT 2022","32","tests.tests","test_s3","","","","Add file '('a.js', 'asd')' to path 'a/b/asd' on S3 'mybucket'",""
"passed","Wed Nov 30 01:45:05 GMT 2022","Wed Nov 30 01:45:05 GMT 2022","30","tests.tests","test_s3","","","","Add file '('a.tar.gz', 'asd')' to path 'asd' on S3 'mybucket'",""
"passed","Wed Nov 30 01:44:57 GMT 2022","Wed Nov 30 01:44:57 GMT 2022","27","tests.tests","test_s3","","","","Add file '('empty_file', '')' to path 'a/b/asd' on S3 'mybucket'",""
"passed","Wed Nov 30 01:45:05 GMT 2022","Wed Nov 30 01:45:05 GMT 2022","16","tests.tests","test_s3","","","","Get Object for '('mybucket', 'a/b/c/path_file', 'asd')'",""
"passed","Wed Nov 30 01:45:01 GMT 2022","Wed Nov 30 01:45:01 GMT 2022","29","tests.tests","test_s3","","","","Add file '('a.js', 'asd')' to path 'asd' on S3 'mybucket'",""
"passed","Wed Nov 30 01:45:04 GMT 2022","Wed Nov 30 01:45:04 GMT 2022","11","tests.tests","test_s3","","","","Read Object Content as Str for '('mybucket', 'a/b/c/path_file', 'asd')'",""
"passed","Wed Nov 30 01:44:59 GMT 2022","Wed Nov 30 01:44:59 GMT 2022","27","tests.tests","test_s3","","","","Add file '('lines_file', 'asd\n2. ddd\nasd\n\nddd\n\n')' to path 'asd' on S3 'mybucket'",""
"passed","Wed Nov 30 01:45:03 GMT 2022","Wed Nov 30 01:45:03 GMT 2022","10","tests.tests","test_s3","","","","Read Object Content as Str for '('mybucket', 'a/b/c/path_file', 'asd')'",""
"passed","Wed Nov 30 01:45:00 GMT 2022","Wed Nov 30 01:45:00 GMT 2022","123","tests.tests","test_s3","","","","Get Object for '('mybucket', 'root_file.txt', 'asd')'",""
"passed","Wed Nov 30 01:44:58 GMT 2022","Wed Nov 30 01:44:58 GMT 2022","10","tests.tests","test_s3","","","","Get Object for '('mybucket', 'a/b/c/path_file', 'asd')'",""
"passed","Wed Nov 30 01:45:05 GMT 2022","Wed Nov 30 01:45:05 GMT 2022","31","tests.tests","test_s3","","","","Add file '('a.tar.gz', 'asd')' to path 'a/b/asd' on S3 'mybucket'",""
"passed","Wed Nov 30 01:45:02 GMT 2022","Wed Nov 30 01:45:02 GMT 2022","11","tests.tests","test_s3","","","","Get Object for '('mybucket', 'root_file.txt', 'asd')'",""
"passed","Wed Nov 30 01:45:03 GMT 2022","Wed Nov 30 01:45:03 GMT 2022","154","tests.tests","test_s3","","","","Read Object Content as Str for '('mybucket', 'root_file.txt', 'asd')'",""
